Financial year ending March,Docklands Light Railway,London Trams,Nottingham Express Transit,West Midlands Metro,Sheffield Supertram,Tyne and Wear Metro [note 1],Manchester Metrolink,Blackpool Tramway,England outside of London [note 3],England [note 3],Edinburgh Trams,Great Britain [note 3],London Underground,Glasgow Subway,,,,,
1984,[w],[w],[w],[w],[w],10.0,[w],2.1,12.1,12.1,[w],12.1,[w],3.4,,,,,
1985,[w],[w],[w],[w],[w],11.0,[w],2.1,13.1,13.1,[w],13.1,[w],3.6,,,,,
1986,[w],[w],[w],[w],[w],12.0,[w],2.4,14.4,14.4,[w],14.4,[w],3.6,,,,,
1987,[w],[w],[w],[w],[w],13.0,[w],2.4,15.4,15.4,[w],15.4,[w],4.0,,,,,
1988,[w],[w],[w],[w],[w],14.0,[w],2.7,16.7,16.7,[w],16.7,[w],4.2,,,,,
1989,2.5,[w],[w],[w],[w],15.3,[w],3.1,18.4,20.9,[w],20.9,[w],4.9,,,,,
1990,3.2,[w],[w],[w],[w],16.4,[w],3.3,19.7,22.9,[w],22.9,[w],5.0,,,,,
1991,3.0,[w],[w],[w],[w],16.4,[w],3.5,19.9,22.9,[w],22.9,[w],5.7,,,,,
1992,2.9,[w],[w],[w],[w],17.8,[w],3.6,21.4,24.3,[w],24.3,[w],6.1,,,,,
1993,3.4,[w],[w],[w],[w],18.6,7.0,3.7,29.3,32.7,[w],32.7,[w],6.2,,,,,
1994,4.5,[w],[w],[w],[w],19.2,9.5,4.2,32.9,37.4,[w],37.4,[w],6.8,,,,,
1995,6.4,[w],[w],[w],1.6,19.3,9.9,4.4,35.1,41.5,[w],41.5,[w],7.1,,,,,
1996,9.4,[w],[w],[w],3.7,19.7,11.1,4.6,39.0,48.4,[w],48.4,[w],7.9,,,,,
1997,12.0,[w],[w],[w],4.7,20.7,13.2,4.5,43.1,55.1,[w],55.1,[w],8.1,,,,,
1998,14.0,[w],[w],[w],6.0,22.2,14.3,4.6,47.1,61.1,[w],61.1,[w],8.6,,,,,
1999,20.0,[w],[w],[w],6.1,22.6,15.5,4.2,48.4,68.4,[w],68.4,[w],9.3,,,,,
2000,21.0,[w],[w],2.5,6.8,23.3,17.0,4.3,53.8,74.8,[w],74.8,[w],10.0,,,,,
2001,28.8,12.2,[w],3.1,7.1,24.1,18.1,4.3,56.7,97.7,[w],97.7,"1,129.0",10.0,,,,,
2002,32.2,12.9,[w],3.9,7.6,25.0,20.1,4.7,61.3,106.5,[w],106.5,"1,151.0",10.1,,,,,
2003,35.6,15.0,[w],5.0,10.2,28.7,21.0,4.6,69.4,120.0,[w],120.0,"1,138.0",10.2,,,,,
2004,37.2,16.1,[w],5.2,9.2,31.4,20.9,3.9,70.7,124.0,[w],124.0,"1,161.0",10.3,,,,,
2005,40.4,18.0,5.9,5.4,11.1,32.6,22.1,4.3,81.3,139.7,[w],139.7,"1,241.0",10.9,,,,,
2006,46.1,18.8,7.3,5.9,10.4,34.4,22.6,4.4,85.0,150.0,[w],150.0,"1,308.0",11.2,,,,,
2007,53.9,19.0,7.5,6.3,12.4,35.2,23.6,4.5,89.5,162.3,[w],162.3,"1,417.0",12.4,,,,,
2008,63.1,20.9,7.9,6.3,13.7,37.3,22.4,4.0,91.6,175.5,[w],175.5,"1,525.0",12.9,,,,,
2009,64.0,18.1,8.6,6.6,15.2,41.3,22.5,3.5,97.6,179.7,[w],179.7,"1,615.0",14.7,,,,,
2010,74.9,16.2,7.9,6.5,15.0,40.8,23.4,3.0,96.7,187.7,[w],187.7,"1,635.0",14.1,,,,,
2011,88.8,19.1,9.0,7.0,15.3,41.6,27.4,2.5,102.8,210.6,[w],210.6,"1,759.0",14.2,,,,,
2012,102.8,21.2,8.4,7.4,15.4,42.2,33.7,1.7,108.8,232.8,[w],232.8,"1,982.1",14.3,,,,,
2013,122.1,22.5,8.5,7.8,14.4,43.6,42.0,5.0,121.3,265.9,[w],265.9,"2,125.5",14.5,,,,,
2014,130.0,23.5,8.3,7.9,13.9,45.2,51.8,6.1,133.2,286.7,[w],286.7,"2,287.4",16.0,,,,,
2015,146.2,24.4,8.8,7.7,12.6,47.9,56.8,5.6,139.4,309.9,7.0,317.0,"2,410.3",17.8,,,,,
2016,158.4,22.8,13.6,8.6,11.4,50.2,62.4,6.1,152.2,333.4,9.6,343.1,"2,575.8",17.5,,,,,
2017,166.5,25.5,17.8,10.3,13.5,50.5,67.3,6.5,165.9,357.9,11.2,369.1,"2,669.6",16.1,,,,,
2018,168.3,24.1,19.1,9.8,13.9,50.9,74.8,6.7,175.2,367.6,13.2,380.8,"2,632.8",18.5,,,,,
2019,171.6,23.5,20.6,10.7,14.0,51.9,82.1,7.0,186.3,381.5,15.7,397.1,"2,769.9",20.1,,,,,
2020,168.8,22.7,21.3,11.3,13.8,49.9,82.6,6.7,185.7,377.2,15.9,393.1,"2,732.0",20.2,,,,,
2021,54.3,11.5,5.4,5.8,6.4,20.4,26.8,1.9,66.6,132.5,2.1,134.6,650.2,4.0,,,,,
2022,104.9,15.6,12.0,10.0,10.9,41.4,52.6,5.3,132.2,252.7,7.3,260.0,"1,524.7",13.0,,,,,
2023,128.2,18.2,20.0,9.9,14.6,60.9,70.5,6.8,182.7,329.1,15.5,344.6,"2,211.7",18.2,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
